"SerieId","CountryId","YearId","value"
"SP.POP.80UP.FE","ARG","YR2012","707869"
"SP.POP.80UP.FE","BRA","YR2012","1727619"
"SP.POP.80UP.FE","CHL","YR2012","261427"
"SP.POP.80UP.FE","COL","YR2012","388783"
"SP.POP.80UP.FE","BOL","YR2012","79053"
"SP.POP.80UP.FE","ECU","YR2012","118324"
"SP.POP.80UP.FE","PRY","YR2012","39424"
"SP.POP.80UP.FE","PER","YR2012","217730"
"SP.POP.80UP.FE","URY","YR2012","97970"
"SP.POP.80UP.FE","VEN","YR2012","196376"
"SP.POP.80UP.MA","ARG","YR2012","341905"
"SP.POP.80UP.MA","BRA","YR2012","1036475"
"SP.POP.80UP.MA","CHL","YR2012","144567"
"SP.POP.80UP.MA","COL","YR2012","274682"
"SP.POP.80UP.MA","BOL","YR2012","58159"
"SP.POP.80UP.MA","ECU","YR2012","88803"
"SP.POP.80UP.MA","PRY","YR2012","28664"
"SP.POP.80UP.MA","PER","YR2012","161618"
"SP.POP.80UP.MA","URY","YR2012","42361"
"SP.POP.80UP.MA","VEN","YR2012","123116"
"SP.POP.80UP.MA.5Y","ARG","YR2012","1.682756777"
"SP.POP.80UP.MA.5Y","BRA","YR2012","1.055255047"
"SP.POP.80UP.MA.5Y","CHL","YR2012","1.688300768"
"SP.POP.80UP.MA.5Y","COL","YR2012","1.216752237"
"SP.POP.80UP.MA.5Y","BOL","YR2012","1.114196789"
"SP.POP.80UP.MA.5Y","ECU","YR2012","1.14591643"
"SP.POP.80UP.MA.5Y","PRY","YR2012","0.877219291"
"SP.POP.80UP.MA.5Y","PER","YR2012","1.100167988"
"SP.POP.80UP.MA.5Y","URY","YR2012","2.600986952"
"SP.POP.80UP.MA.5Y","VEN","YR2012","0.841262621"
"SP.POP.80UP.FE.5Y","ARG","YR2012","3.305468259"
"SP.POP.80UP.FE.5Y","BRA","YR2012","1.709380576"
"SP.POP.80UP.FE.5Y","CHL","YR2012","2.958159269"
"SP.POP.80UP.FE.5Y","COL","YR2012","1.654346044"
"SP.POP.80UP.FE.5Y","BOL","YR2012","1.532669635"
"SP.POP.80UP.FE.5Y","ECU","YR2012","1.531785349"
"SP.POP.80UP.FE.5Y","PRY","YR2012","1.250003171"
"SP.POP.80UP.FE.5Y","PER","YR2012","1.469511533"
"SP.POP.80UP.FE.5Y","URY","YR2012","5.597249424"
"SP.POP.80UP.FE.5Y","VEN","YR2012","1.33351822"
"SP.POP.GROW","ARG","YR2012","1.136905694"
"SP.POP.GROW","BRA","YR2012","0.893525507"
"SP.POP.GROW","CHL","YR2012","0.96308"
"SP.POP.GROW","COL","YR2012","0.900335047"
"SP.POP.GROW","BOL","YR2012","1.600043615"
"SP.POP.GROW","ECU","YR2012","1.49891549"
"SP.POP.GROW","PRY","YR2012","1.372434411"
"SP.POP.GROW","PER","YR2012","0.825158485"
"SP.POP.GROW","URY","YR2012","0.297840986"
"SP.POP.GROW","VEN","YR2012","1.623948325"
"SP.POP.TOTL.FE.IN","ARG","YR2012","21415097"
"SP.POP.TOTL.FE.IN","BRA","YR2012","101066961"
"SP.POP.TOTL.FE.IN","CHL","YR2012","8837489"
"SP.POP.TOTL.FE.IN","COL","YR2012","23500706"
"SP.POP.TOTL.FE.IN","BOL","YR2012","5157863"
"SP.POP.TOTL.FE.IN","ECU","YR2012","7724581"
"SP.POP.TOTL.FE.IN","PRY","YR2012","3153912"
"SP.POP.TOTL.FE.IN","PER","YR2012","14816488"
"SP.POP.TOTL.FE.IN","URY","YR2012","1750324"
"SP.POP.TOTL.FE.IN","VEN","YR2012","14726158"
"SP.POP.TOTL.FE.ZS","ARG","YR2012","51.31420795"
"SP.POP.TOTL.FE.ZS","BRA","YR2012","50.71420259"
"SP.POP.TOTL.FE.ZS","CHL","YR2012","50.78911878"
"SP.POP.TOTL.FE.ZS","COL","YR2012","51.0045323"
"SP.POP.TOTL.FE.ZS","BOL","YR2012","49.70151798"
"SP.POP.TOTL.FE.ZS","ECU","YR2012","49.91942342"
"SP.POP.TOTL.FE.ZS","PRY","YR2012","49.11480322"
"SP.POP.TOTL.FE.ZS","PER","YR2012","50.21382536"
"SP.POP.TOTL.FE.ZS","URY","YR2012","51.80044244"
"SP.POP.TOTL.FE.ZS","VEN","YR2012","50.15580113"
"SP.POP.TOTL.MA.IN","ARG","YR2012","20318174"
"SP.POP.TOTL.MA.IN","BRA","YR2012","98220331"
"SP.POP.TOTL.MA.IN","CHL","YR2012","8562870"
"SP.POP.TOTL.MA.IN","COL","YR2012","22575015"
"SP.POP.TOTL.MA.IN","BOL","YR2012","5219814"
"SP.POP.TOTL.MA.IN","ECU","YR2012","7749518"
"SP.POP.TOTL.MA.IN","PRY","YR2012","3267598"
"SP.POP.TOTL.MA.IN","PER","YR2012","14690302"
"SP.POP.TOTL.MA.IN","URY","YR2012","1628651"
"SP.POP.TOTL.MA.IN","VEN","YR2012","14634669"
"SP.POP.TOTL.MA.ZS","ARG","YR2012","48.68579205"
"SP.POP.TOTL.MA.ZS","BRA","YR2012","49.28579741"
"SP.POP.TOTL.MA.ZS","CHL","YR2012","49.21088122"
"SP.POP.TOTL.MA.ZS","COL","YR2012","48.9954677"
"SP.POP.TOTL.MA.ZS","BOL","YR2012","50.29848202"
"SP.POP.TOTL.MA.ZS","ECU","YR2012","50.08057658"
"SP.POP.TOTL.MA.ZS","PRY","YR2012","50.88519678"
"SP.POP.TOTL.MA.ZS","PER","YR2012","49.78617464"
"SP.POP.TOTL.MA.ZS","URY","YR2012","48.19955756"
"SP.POP.TOTL.MA.ZS","VEN","YR2012","49.84419887"
"SP.POP.TOTL","ARG","YR2012","41733271"
"SP.POP.TOTL","BRA","YR2012","199287292"
"SP.POP.TOTL","CHL","YR2012","17400359"
"SP.POP.TOTL","COL","YR2012","46075721"
"SP.POP.TOTL","BOL","YR2012","10377677"
"SP.POP.TOTL","ECU","YR2012","15474099"
"SP.POP.TOTL","PRY","YR2012","6421510"
"SP.POP.TOTL","PER","YR2012","29506790"
"SP.POP.TOTL","URY","YR2012","3378975"
"SP.POP.TOTL","VEN","YR2012","29360827"
"SH.STA.PNVC.ZS","ARG","YR2012",""
"SH.STA.PNVC.ZS","BRA","YR2012",""
"SH.STA.PNVC.ZS","CHL","YR2012",""
"SH.STA.PNVC.ZS","COL","YR2012",""
"SH.STA.PNVC.ZS","BOL","YR2012",""
"SH.STA.PNVC.ZS","ECU","YR2012",""
"SH.STA.PNVC.ZS","PRY","YR2012",""
"SH.STA.PNVC.ZS","PER","YR2012","93.1"
"SH.STA.PNVC.ZS","URY","YR2012",""
"SH.STA.PNVC.ZS","VEN","YR2012",""
"SI.POV.NAHC","ARG","YR2012",""
"SI.POV.NAHC","BRA","YR2012",""
"SI.POV.NAHC","CHL","YR2012",""
"SI.POV.NAHC","COL","YR2012",""
"SI.POV.NAHC","BOL","YR2012",""
"SI.POV.NAHC","ECU","YR2012","27.3"
"SI.POV.NAHC","PRY","YR2012","31.4"
"SI.POV.NAHC","PER","YR2012","25.8"
"SI.POV.NAHC","URY","YR2012",""
"SI.POV.NAHC","VEN","YR2012","27.2"
"SH.STA.ANVC.ZS","ARG","YR2012","98.1"
"SH.STA.ANVC.ZS","BRA","YR2012",""
"SH.STA.ANVC.ZS","CHL","YR2012",""
